SNMP Parameters,icmp_AddrMaskReps,icmp_InAddrMasks,icmp_InDestUnreachs,icmp_InEchosReps,icmp_InEchos,icmp_InErrors,icmp_InMsgs,icmp_InParmProbs,icmp_InRedirects,icmp_InSrcQuenchs,icmp_InTimeExcds,icmp_InTimestampReps,icmp_InTimestamps,icmp_OutAddrMaskReps,icmp_OutAddrMasks,icmp_OutDestUnreachs,icmp_OutEchoReps,icmp_OutEchos,icmp_OutErrors,icmp_OutMsgs,icmp_OutParmProbs,icmp_OutRedirects,icmp_OutSrcQuenchs,icmp_OutTimeExcds,icmp_OutTimestampsReps,icmp_OutTimestamps,ip_DefaultTTL,ip_Forwarding,ip_ForwDatagrams,ip_FragCreates,ip_FragFails,ip_FragOKs,ip_InAddrErrors,ip_InDelivers,ip_InDiscard,ip_InHdrErrors,ip_InReceives,ip_InUnknownProtos,ip_OutDiscards,ip_OutNoRoutes,ip_OutRequests,ip_ReasmFails,ip_ReasmOKs,ip_ReasmReqds,ip_ReasmTimeout,ip_RoutingDiscards,tcp_ActiveOpens,tcp_AttemptFails,tcp_CurrEstablish,tcp_EstabResets,tcp_InErrs,tcp_InSegs,tcp_MaxConn,tcp_OutRsts,tcp_OutSegs,tcp_PassiveOpens,tcp_RetransSegs,tcp_RtoAlgorithm,tcp_RtoMax,tcp_RtoMin,udp_InDatagrams,udp_InErrors,udp_NoPorts,udp_OutDatagrams,ClassLabel
Label and Object Identifier,iso.3.6.1.2.1.5.13.0,iso.3.6.1.2.1.5.12.0,iso.3.6.1.2.1.5.3.0,iso.3.6.1.2.1.5.9.0,iso.3.6.1.2.1.5.8.0,iso.3.6.1.2.1.5.2.0,iso.3.6.1.2.1.5.1.0,iso.3.6.1.2.1.5.5.0,iso.3.6.1.2.1.5.7.0,iso.3.6.1.2.1.5.6.0,iso.3.6.1.2.1.5.4.0,iso.3.6.1.2.1.5.11.0,iso.3.6.1.2.1.5.10.0,iso.3.6.1.2.1.5.26.0,iso.3.6.1.2.1.5.25.0,iso.3.6.1.2.1.5.16.0,iso.3.6.1.2.1.5.22.0,iso.3.6.1.2.1.5.21.0,iso.3.6.1.2.1.5.15.0,iso.3.6.1.2.1.5.14.0,iso.3.6.1.2.1.5.18.0,iso.3.6.1.2.1.5.20.0,iso.3.6.1.2.1.5.19.0,iso.3.6.1.2.1.5.17.0,iso.3.6.1.2.1.5.24.0,iso.3.6.1.2.1.5.23.0,iso.3.6.1.2.1.4.2.0,iso.3.6.1.2.1.4.1.0,iso.3.6.1.2.1.4.6.0,iso.3.6.1.2.1.4.19.0,iso.3.6.1.2.1.4.18.0,iso.3.6.1.2.1.4.17.0,iso.3.6.1.2.1.4.5.0,iso.3.6.1.2.1.4.9.0,iso.3.6.1.2.1.4.8.0,iso.3.6.1.2.1.4.4.0,iso.3.6.1.2.1.4.3.0 ,iso.3.6.1.2.1.4.7.0,iso.3.6.1.2.1.4.11.0,iso.3.6.1.2.1.4.12.0,iso.3.6.1.2.1.4.10.0,iso.3.6.1.2.1.4.16.0,iso.3.6.1.2.1.4.15.0,iso.3.6.1.2.1.4.14.0,iso.3.6.1.2.1.4.13.0,iso.3.6.1.2.1.4.23.0,iso.3.6.1.2.1.6.5.0,iso.3.6.1.2.1.6.7.0,iso.3.6.1.2.1.6.9.0,iso.3.6.1.2.1.6.8.0,iso.3.6.1.2.1.6.14.0,iso.3.6.1.2.1.6.10.0,iso.3.6.1.2.1.6.4.0,iso.3.6.1.2.1.6.15.0,iso.3.6.1.2.1.6.11.0,iso.3.6.1.2.1.6.6.0,iso.3.6.1.2.1.6.12.0,iso.3.6.1.2.1.6.1.0,iso.3.6.1.2.1.6.3.0,iso.3.6.1.2.1.6.2.0,iso.3.6.1.2.1.7.1.0,iso.3.6.1.2.1.7.3.0,iso.3.6.1.2.1.7.2.0,iso.3.6.1.2.1.7.4.0,Category
Mon Jul 31 15:55:20 UTC 2017,0,0,0,985,0,0,986,0,0,0,1,0,0,0,0,0,0,0,1001,0,0,0,0,1,0,1000,64,2,0,0,0,0,2,3898,0,0,3900,0,0,0,3921,0,0,0,30,0,23,0,2,0,0,273,-1,0,296,2,0,1,120000,200,2813,0,2,2814,ICMP_Normal
Mon Jul 31 15:56:00 UTC 2017,0,0,0,1085,0,0,1086,0,0,0,1,0,0,0,0,0,0,0,1086,0,0,0,0,1,0,1101,64,2,0,0,0,0,2,4315,0,0,4317,0,0,0,4338,0,0,0,30,0,24,0,2,0,0,273,-1,0,296,2,0,1,120000,200,3109,0,2,3110,ICMP_Normal
Mon Jul 31 15:56:32 UTC 2017,0,0,0,1203,0,0,1204,0,0,0,1,0,0,0,0,0,0,0,1220,0,0,0,0,1,0,1219,64,2,0,0,0,0,2,4707,0,0,4709,0,0,0,4730,0,0,0,30,0,24,0,2,0,0,273,-1,0,296,2,0,1,120000,200,3405,0,2,3406,ICMP_Normal
Mon Jul 31 15:57:11 UTC 2017,0,0,0,1301,0,0,1302,0,0,0,1,0,0,0,0,0,0,0,1302,0,0,0,0,1,0,1316,64,2,0,0,0,0,2,5121,0,0,5123,0,0,0,5144,0,0,0,30,0,24,0,2,0,0,273,-1,0,296,2,0,1,120000,200,3701,0,2,3702,ICMP_Normal
Mon Jul 31 15:57:44 UTC 2017,0,0,0,1425,0,0,1426,0,0,0,1,0,0,0,0,0,0,0,1426,0,0,0,0,1,0,1425,64,2,0,0,0,0,2,5529,0,0,5531,0,0,0,5549,0,0,0,30,0,24,0,2,0,0,288,-1,0,307,2,0,1,120000,200,3997,0,2,3998,ICMP_Normal
Mon Jul 31 15:58:22 UTC 2017,0,0,0,1518,0,0,1519,0,0,0,1,0,0,0,0,0,0,0,1519,0,0,0,0,1,0,1534,64,2,0,0,0,0,2,5952,0,0,5954,0,0,0,5969,0,0,0,30,0,24,0,2,0,0,299,-1,0,316,2,0,1,120000,200,4293,0,2,4294,ICMP_Normal
Mon Jul 31 15:58:58 UTC 2017,0,0,0,1644,0,0,1645,0,0,0,1,0,0,0,0,0,0,0,1645,0,0,0,0,1,0,1644,64,2,0,0,0,0,2,6354,0,0,6356,0,0,0,6371,0,0,0,30,0,24,0,2,0,0,299,-1,0,316,2,0,1,120000,200,4589,0,2,4590,ICMP_Normal
Mon Jul 31 15:59:34 UTC 2017,0,0,0,1733,0,0,1734,0,0,0,1,0,0,0,0,0,0,0,1734,0,0,0,0,1,0,1748,64,2,0,0,0,0,2,6757,0,0,6759,0,0,0,6774,0,0,0,30,0,24,0,2,0,0,299,-1,0,316,2,0,1,120000,200,4885,0,2,4886,ICMP_Normal
Mon Jul 31 16:00:11 UTC 2017,0,0,0,1858,0,0,1859,0,0,0,1,0,0,0,0,0,0,0,1859,0,0,0,0,1,0,1858,64,2,0,0,0,0,2,7164,0,0,7166,0,0,0,7181,0,0,0,30,0,24,0,2,0,0,299,-1,0,316,2,0,1,120000,200,5181,0,2,5182,ICMP_Normal
Mon Jul 31 16:00:46 UTC 2017,0,0,0,1951,0,0,1952,0,0,0,1,0,0,0,0,0,0,0,1952,0,0,0,0,1,0,1966,64,2,0,0,0,0,2,7565,0,0,7567,0,0,0,7582,0,0,0,30,0,24,0,2,0,0,299,-1,0,316,2,0,1,120000,200,5477,0,2,5478,ICMP_Normal
Mon Jul 31 16:01:23 UTC 2017,0,0,0,2071,0,0,2072,0,0,0,1,0,0,0,0,0,0,0,2072,0,0,0,0,1,0,2071,64,2,0,0,0,0,2,7975,0,0,7977,0,0,0,7992,0,0,0,30,0,24,0,2,0,0,299,-1,0,316,2,0,1,120000,200,5773,0,2,5774,ICMP_Normal
